2023-02-23 09:16:02.167 [main] INFO  com.sankuai.inf.leaf.server.LeafServerApplication - Starting LeafServerApplication on JKOUCOARECXGVWQ with PID 16084 (C:\Users\Administrator\IdeaProjects\jlg\leaf-master-grpc\leaf-master-grpc\leaf-server\target\classes started by Administrator in C:\Users\Administrator\IdeaProjects\jlg\leaf-master-grpc\leaf-master-grpc)
2023-02-23 09:16:02.183 [main] INFO  com.sankuai.inf.leaf.server.LeafServerApplication - The following profiles are active: sit
2023-02-23 09:16:02.276 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
2023-02-23 09:16:02.886 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8002 (http)
2023-02-23 09:16:02.886 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2023-02-23 09:16:02.901 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-23 09:16:02.901 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.35
2023-02-23 09:16:02.964 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-23 09:16:02.964 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 750 ms
2023-02-23 09:16:02.995 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2023-02-23 09:16:03.011 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2023-02-23 09:16:03.011 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2023-02-23 09:16:03.011 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2023-02-23 09:16:03.011 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2023-02-23 09:16:03.058 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-02-23 09:16:03.120 [main] INFO  com.sankuai.inf.leaf.segment.SegmentIDGenImpl - Init ...
2023-02-23 09:16:03.120 [main] INFO  com.sankuai.inf.leaf.segment.SegmentIDGenImpl - update cache from db
2023-02-23 09:16:03.542 [main] INFO  com.sankuai.inf.leaf.segment.SegmentIDGenImpl - Add tag a from db to IdCache, SegmentBuffer SegmentBuffer{key='a', segments=[Segment(value:0,max:0,step:0), Segment(value:0,max:0,step:0)], currentPos=0, nextReady=false, initOk=false, threadRunning=false, step=0, minStep=0, updateTimestamp=0}
